Column1	Column5	Column6	Column7		Id	Ref_Name
Id	Scope	Language_Type	Ref_Name		aaa	Ghotuo
aaa	I	L	Ghotuo		aab	Alumu-Tesu
aab	I	L	Alumu-Tesu		aac	Ari
aac	I	L	Ari		aad	Amal
aad	I	L	Amal		aae	Arb?resh? Albanian
aae	I	L	Arb?resh? Albanian		aaf	Aranadan
aaf	I	L	Aranadan		aag	Ambrak
aag	I	L	Ambrak		aah	Abu' Arapesh
aah	I	L	Abu' Arapesh		aai	Arifama-Miniafia
aai	I	L	Arifama-Miniafia		aak	Ankave
aak	I	L	Ankave		aal	Afade
aal	I	L	Afade		aan	Anamb?
aan	I	L	Anamb?		aao	Algerian Saharan Arabic
aao	I	L	Algerian Saharan Arabic		aap	Par? Ar?ra
aap	I	L	Par? Ar?ra		aaq	Eastern Abnaki
aaq	I	E	Eastern Abnaki		aar	Afar
aar	I	L	Afar		aas	Aas?x
aas	I	L	Aas?x		aat	Arvanitika Albanian
aat	I	L	Arvanitika Albanian		aau	Abau
aau	I	L	Abau		aaw	Solong
aaw	I	L	Solong		aax	Mandobo Atas
aax	I	L	Mandobo Atas		aaz	Amarasi
aaz	I	L	Amarasi		aba	Ab?
aba	I	L	Ab?		abb	Bankon
abb	I	L	Bankon		abc	Ambala Ayta
abc	I	L	Ambala Ayta		abd	Manide
abd	I	L	Manide		abe	Western Abnaki
abe	I	L	Western Abnaki		abf	Abai Sungai
abf	I	L	Abai Sungai		abg	Abaga
abg	I	L	Abaga		abh	Tajiki Arabic
abh	I	L	Tajiki Arabic		abi	Abidji
abi	I	L	Abidji		abj	Aka-Bea
abj	I	E	Aka-Bea		abk	Abkhazian
abk	I	L	Abkhazian		abl	Lampung Nyo
abl	I	L	Lampung Nyo		abm	Abanyom
abm	I	L	Abanyom		abn	Abua
abn	I	L	Abua		abo	Abon
abo	I	L	Abon		abp	Abellen Ayta
abp	I	L	Abellen Ayta		abq	Abaza
abq	I	L	Abaza		abr	Abron
abr	I	L	Abron		abs	Ambonese Malay
abs	I	L	Ambonese Malay		abt	Ambulas
abt	I	L	Ambulas		abu	Abure
abu	I	L	Abure		abv	Baharna Arabic
abv	I	L	Baharna Arabic		abw	Pal
abw	I	L	Pal		abx	Inabaknon
abx	I	L	Inabaknon		aby	Aneme Wake
aby	I	L	Aneme Wake		abz	Abui
abz	I	L	Abui		aca	Achagua
aca	I	L	Achagua		acb	?nc?
acb	I	L	?nc?		acd	Gikyode
acd	I	L	Gikyode		ace	Achinese
ace	I	L	Achinese		acf	Saint Lucian Creole French
acf	I	L	Saint Lucian Creole French		ach	Acoli
ach	I	L	Acoli		aci	Aka-Cari
aci	I	E	Aka-Cari		ack	Aka-Kora
ack	I	E	Aka-Kora		acl	Akar-Bale
acl	I	E	Akar-Bale		acm	Mesopotamian Arabic
acm	I	L	Mesopotamian Arabic		acn	Achang
acn	I	L	Achang		acp	Eastern Acipa
acp	I	L	Eastern Acipa		acq	Ta'izzi-Adeni Arabic
acq	I	L	Ta'izzi-Adeni Arabic		acr	Achi
acr	I	L	Achi		acs	Acro?
acs	I	E	Acro?		act	Achterhoeks
act	I	L	Achterhoeks		acu	Achuar-Shiwiar
acu	I	L	Achuar-Shiwiar		acv	Achumawi
acv	I	L	Achumawi		acw	Hijazi Arabic
acw	I	L	Hijazi Arabic		acx	Omani Arabic
acx	I	L	Omani Arabic		acy	Cypriot Arabic
acy	I	L	Cypriot Arabic		acz	Acheron
acz	I	L	Acheron		ada	Adangme
ada	I	L	Adangme		adb	Atauran
adb	I	L	Atauran		add	Lidzonka
add	I	L	Lidzonka		ade	Adele
ade	I	L	Adele		adf	Dhofari Arabic
adf	I	L	Dhofari Arabic		adg	Andegerebinha
adg	I	L	Andegerebinha		adh	Adhola
adh	I	L	Adhola		adi	Adi
adi	I	L	Adi		adj	Adioukrou
adj	I	L	Adioukrou		adl	Galo
adl	I	L	Galo		adn	Adang
adn	I	L	Adang		ado	Abu
ado	I	L	Abu		adq	Adangbe
adq	I	L	Adangbe		adr	Adonara
adr	I	L	Adonara		ads	Adamorobe Sign Language
ads	I	L	Adamorobe Sign Language		adt	Adnyamathanha
adt	I	L	Adnyamathanha		adu	Aduge
adu	I	L	Aduge		adw	Amundava
adw	I	L	Amundava		adx	Amdo Tibetan
adx	I	L	Amdo Tibetan		ady	Adyghe
ady	I	L	Adyghe		adz	Adzera
adz	I	L	Adzera		aea	Areba
aea	I	E	Areba		aeb	Tunisian Arabic
aeb	I	L	Tunisian Arabic		aec	Saidi Arabic
aec	I	L	Saidi Arabic		aed	Argentine Sign Language
aed	I	L	Argentine Sign Language		aee	Northeast Pashai
aee	I	L	Northeast Pashai		aek	Haeke
aek	I	L	Haeke		ael	Ambele
